Companies names,Contact,Why ? (Philip),Why ? (Fernando),What is the company doing,Motivation from 1 to 5,Ambassador,Relevant job postings,Formule,Notes,Date added
Element,,"Awesome security oriented, open messanging system",,An open messanging system,5,1,,6,"Johannes, the former CTO of the SMF, joined Element as Engineering Manager;
The SMF used Matrix as core of a product",2023-12-04
PS Team,,"The video call application is a very well known project, former SMF
customer",,"Leasing stuff, the SMF did a product to do recorded video
calls",5,1,,6,,2023-12-06
Ableton,,De facto standard for this kind of music production software,,Music production software,5,1,,6,,2023-12-04
BionTech,,Heros,,Vaccines,5,1,,6,,2023-12-07
zolar,,"We must manage the Energiewende or busted, they are looking for a
Tech Lead and have a tech stack from which I know most of",,Solar Energy,5,1,,6,,2023-12-08
getmomo,,"Their product doesn't save the planet but
solves a problem, competent CTO",,Fintech targeting landlords,4,1,,5,"Denis Rieth is UI/UX designer there and made contact with the CTO, went through
most/all of the interviews, but decided for nilo in 2022",2023-12-04
Kiwi,,Was a lend during SMF times for them and liked the product and team,,Keyless entry system,4,1,,5,Knowing some former employees and current ones,2023-12-04
SumUp,,"Makes card payment possible for small businesses, my parents are
using it",,Card Payment,4,1,,5,,2023-12-05
Sentry,,Using the product and its great,,Crash Reporting,5,0,,5,,2023-12-04
Canonical,,I really like Ubuntu,,Linux Distribution,5,0,,5,,2023-12-04
Mozilla,,I really like their mission and products,,"Software development, (Firefo, Thunderbird)",5,0,,5,,2023-12-04
WikiMedia,,Wikipedia is an awesome knowledge base,,Wikipedia,5,0,,5,,2023-12-04
DuckDuckGo,,"Privacy first search engine, awesome",,Search engine,5,0,,5,,2023-12-04
GoPro,,Love their cameras for travel videos,,Action and Vlogging cameras,5,0,,5,,2023-12-04
HashiCorp,,Awesome tools like Terraform and Nomad,,Cloudsoftware developer,5,0,,5,,2023-12-04
Dagger,,"Seems to be a very nice dev tool, seem to
have a great company culture",,"CI/CD, founder did also Docker",5,0,,5,,2023-12-04
Bitwarden,,Love their product,,Password Manager,5,0,,5,,2023-12-04
SoundCloud,,Loving the product,,A platform for showing and sharing your music,5,0,,5,,2023-12-04
Garmin,,I really like their watches,,Sport Watches and all kind of GPS hardware,3,1,,4,,2023-12-05
Charité,,The 3rd best hospital in Europe,,Hospital,3,1,,4,,2023-12-06
Backblaze,,The product is nice,,Backups,4,0,,4,,2023-12-04
Jetbrains,,Very good products,,Software development (IntellyJ),4,0,,4,,2023-12-04
Pulumi,,IaC is cool,,IaC,4,0,,4,,2023-12-04
DeepL,,Excellent translation tool,,Machine translation,4,0,,4,,2023-12-04
Granular Energy,,Lean company around green energy,,Managing Clean Energy Certificates,4,0,,4,,2023-12-04
Let's Roam,,I really like and use the product,,Scavenger Hunts for tourists all over the world,4,0,,4,,2023-12-04
SpaceLift,,IaC is cool,,(Meta-)IaC-provider,4,0,,4,,2023-12-04
SensioLabs,,Used their framework at SMF and liked it,,WebDev framework,4,0,,4,,2023-12-04
VirtualDJ,,Using their DJ software,,DJ Software,4,0,,4,,2023-12-04
AVM,,Their products are fine,,"Network equipment, mainly routers for home usage",4,0,,4,,2023-12-04
Bitwig,,"AbletonLive like software, founded by former Ableton employees who
were unhappy with the direction of the product, I like the product and
the underdog situation",,Music production software,4,0,,4,,2023-12-04
Resident Advisor,,"This platform is about the central hub for clubs in the electronic
music scene",,Electronic music clubs platform (and some kind of magazin),4,0,,4,,2023-12-04
Ecosia,,Helping the planet with each search is a great idea,,Search engine,4,0,,4,,2023-12-05
HPS,,The Energiewende is core...,,Solar Energy,4,0,,4,,2023-12-05
Good,,"As Ecosia, a search engine investing the money into good projects",,Search engine,4,0,,4,,2023-12-05
Nuki,,Excellent product which makes something trivial actually convinient,,Smart Lock,4,0,,4,,2023-12-05
PlanA,,Interesting approach to a problem,,B2B emission tracking,4,0,,4,,2023-12-05
Enpal,,We must manage the Energiewende or busted,,Solar Energy,4,0,,4,,2023-12-08
hygraph,,Used their CMS at nilo and it was quite good,,Headless CMS,4,0,,4,,2023-12-08
Anytype,,A privacy oriented app for your data is very desirable,,"Privacy oriented ""everything app"" (everything where the
users collects data, like a Wiki or calendar",4,0,,4,,2023-12-08
Mattermost,,Very fine products,,"A collaboration platform for working together, mainly a
messanger",4,,,4,,2023-12-04
AWS,,They basically invented cloud hosting,,Cloud,3,0,,3,,2023-12-04
Grafana,,Used the product and it worked well,,Data visualization,3,0,,3,,2023-12-04
Client Earth,,Their area,,Some kind of anti climate change NGO,3,0,,3,Their open positions are not well paid,2023-12-04
consid,,Is ranked as a top IT employer,,Agency/Consultantation,3,0,,3,,2023-12-04
HiSolutions,,Is ranked as a top IT employer,,IT Security and Management consultation,3,0,,3,,2023-12-04
Techniker Krankenkasse,,Actually a decent health insurance,,health insurance,3,0,,3,,2023-12-04
Native Instruments,,Used their DJ software a bit,,DJ Soft- and Hardware,3,0,,3,,2023-12-04
"Red Hat, KeyCloak",,Working for the IDM Keycloak would be great,,Linux Distribution and general software,3,0,,3,,2023-12-04
Vimeo,,Nice YouTube alternative,,Video streaming,3,0,,3,,2023-12-04
StartNext,,One of the nicer crowdfunding companies,,Crowdfunding platform,3,0,,3,,2023-12-04
Urban Sports Club,,I use their product a lot,,Sports Platform,3,0,,3,,2023-12-04
Climatiq,,Interesting product idea helping the planet,,Carbon calculator API,3,0,,3,,2023-12-05
Precycle,,Interesting product idea helping the planet,,"B2B Offering an additional payment for taking care of the users
plastic rubbish, using that money to take action against it",3,0,,3,,2023-12-05
CleanHub,,Waste is a problem,,Collecting Waste,3,0,,3,,2023-12-05
Vaayu,,Interesting approach to a problem,,B2B emission tracking,3,0,,3,,2023-12-05
Root Global,,Interesting approach to a problem,,Food industry carbon tracking,3,0,,3,,2023-12-05
AirTeam,,Very interesting technology,,"Measure roofes with drones (for planning solar panels for
example)",3,0,,3,,2023-12-05
Dryad,,Fires are becoming more and more of a problem,,Early fire detection in nature,3,0,,3,,2023-12-05
OStrom,,We must manage the Energiewende or busted,,Energy management in households,3,0,,3,,2023-12-08
Camunda,,Having their process modeling software open source is very good,,Process Modeling Software,3,0,,3,,2023-12-08
Tomorrow Univesity,,Education is important and their working culture seems good,,Online University,3,0,,3,,2023-12-08